,name,new_price,old_price,discount,rating,votes
162,Beauty Hair Bun,KSh 390,,,3.8 out of 5,3.8 out of 5(24)
163,Marado Rice- Cooker Multi-function.,"KSh 7,012","KSh 8,900",21%,,
164,Ors Olive Wrap Set Mousse + Heat Protection Serum(Coconut,KSh 970,"KSh 1,600",39%,1 out of 5,1 out of 5(1)
165,Oraimo Hand Held Cordless Vacuum Cleaner-SilverAMZN,"KSh 4,199","KSh 6,000",30%,4 out of 5,4 out of 5(11)
166,Power King 6 Way Power Extension Cable - White +FREE Watch,"KSh 850 - KSh 1,520","KSh 1,200 - KSh 1,900",31%,4.8 out of 5,4.8 out of 5(13)
167,Wired Extra Bass Headphones Headsets,KSh 600,"KSh 1,000",40%,1.7 out of 5,1.7 out of 5(3)
168,Wireless Bluetooth Earbuds HIFI Stereo Sensor Control T3,"KSh 2,987","KSh 3,900",23%,,
169,"Samsung UA32T5300AU,32 Inch Smart HD TV Series 5 Inbuilt WIFI + FREE Wall Bracket","KSh 27,999","KSh 30,000",7%,4.4 out of 5,4.4 out of 5(5)
170,VON HB 240CK/VSBT04BCK - Blender - 1.5Litres - 400W - Black,"KSh 5,395",,,4.7 out of 5,4.7 out of 5(10)
171,Fashion 7Pairs/Set Women Rhinestone Inlaid Sun Star Moon Stud-,KSh 229,KSh 458,50%,4 out of 5,4 out of 5(2)
172,2in1Multimode Fixed Way Universal Car Phone Holder.,KSh 868,"KSh 1,299",33%,4.5 out of 5,4.5 out of 5(26)
173,Black Opal E.D.A 3 IN 1 MAKE UP + LOOSE POWDER (MEDIUM),KSh 550,"KSh 1,000",45%,4.4 out of 5,4.4 out of 5(11)
174,"Vivo Y17s - 6.56'' Display, 6GB RAM + 128GB ROM - (Dual SIM) - 50MP - 5000mAh - Purple + Free Gifts","KSh 20,699","KSh 29,999",31%,5 out of 5,5 out of 5(4)
175,Fashion Kids Boy Casual Velcro Strap Sandals Outdoor - White,KSh 850,"KSh 1,700",50%,4.3 out of 5,4.3 out of 5(4)
176,Curren 9015 Rose Gold Blue Watch.,"KSh 3,299","KSh 3,500",6%,5 out of 5,5 out of 5(1)
177,Naviforce Wrist Watch Golden 9117 Men's Watches,"KSh 4,598","KSh 4,599",1%,5 out of 5,5 out of 5(1)
178,Nunix Pressure Cooker - Explosion Proof - 5Litres - Silver,"KSh 3,090","KSh 4,500",31%,5 out of 5,5 out of 5(2)
179,MK Electronics TV Guard - White,KSh 675,KSh 990,32%,4.2 out of 5,4.2 out of 5(108)
180,Redmi A2 Plus Silicone Classy Fashion Cover Case+Screen Protector+BT Headset.,KSh 749,"KSh 1,000",25%,3.3 out of 5,3.3 out of 5(3)
181,Tecno Spark 10 Pro Silicone Classy Cover Case + Earpods + Watch.,KSh 990,"KSh 1,500",34%,3.7 out of 5,3.7 out of 5(3)
182,"Mekis Rosemary Clove Hair Oil - Encourage new hair follicle growth, Strengthens strands, Reducing thinning and promoting volume.",KSh 560,KSh 699,20%,4.3 out of 5,4.3 out of 5(4)
183,Stick On Wall Clock DIY Large Modern Design Decal 3D,KSh 720,"KSh 1,008",29%,3.7 out of 5,3.7 out of 5(15)
184,"Nunix Bottom Load Water Dispenser,Hot &Nornal,Energy Efficient","KSh 9,800","KSh 15,000",35%,3 out of 5,3 out of 5(3)
185,Maybelline Sensational Liquid Matte 02 AS Soft Wine,"KSh 1,550",,,4.2 out of 5,4.2 out of 5(132)
186,Bebe  KIDS STUDY TABLET 64GB/4GB FROG EDITION B44,"KSh 9,850 - KSh 9,900","KSh 15,000",34%,,
187,Intex Inflatable Mattress Air Bed PLUS FREE PUMP...,"KSh 5,000 - KSh 8,999","KSh 5,000 - KSh 10,000",10%,5 out of 5,5 out of 5(2)
188,TCL Smart Tv Remote Control For TCL Tv,"KSh 1,099","KSh 2,000",45%,3.7 out of 5,3.7 out of 5(20)
189,NIVEA Orange & Avocado Oil Shower Cream For Women - 500 ml,KSh 955,,,4.6 out of 5,4.6 out of 5(39)
190,Sandisk Ultra Fit USB 3.1 Flash Drive  - 128GB - Black,"KSh 1,990","KSh 3,892",49%,4.9 out of 5,4.9 out of 5(7)
191,Fashion Style PU Leather Unisex Back To School Shoes/ Toughees Shoes - Black,"KSh 1,500 - KSh 1,700","KSh 2,000",25%,4.2 out of 5,4.2 out of 5(6)
192,Curren 9015 Rose Gold Blue Watch.,"KSh 3,299","KSh 3,500",6%,5 out of 5,5 out of 5(1)
193,1 Duvet 1 Bedsheet 2 Pillowcases - Blue & White with Star Print,"KSh 2,317 - KSh 2,347","KSh 3,148 - KSh 3,280",28%,4.1 out of 5,4.1 out of 5(64)
194,Disaar Probiotic Mouth Spray Fresh Breath Grape Flavor -20ml,KSh 349,KSh 650,46%,4.6 out of 5,4.6 out of 5(5)
195,Car Anti-fog Anti-glare Waterproof Film Rain Shield Sticker Film Car Anti-fog Waterproof Stciker .,KSh 599,"KSh 1,099",45%,4.5 out of 5,4.5 out of 5(29)
196,Bebe KIDS STUDY TABLETS 128GB/4GB With Simcard Slot 10inch.,"KSh 17,880","KSh 20,000",11%,,
197,"Tecno Phantom V Flip 5G, 256GB + 8GB RAM (Single SIM), 4000mAh, Mystic Dawn","KSh 97,999","KSh 99,999",2%,,
198,Fashion Khaki Bomber Jacket (BEIGE),"KSh 2,500 - KSh 2,800","KSh 4,000",38%,2.8 out of 5,2.8 out of 5(4)
199,Chopping Board - White,KSh 450,KSh 550,18%,5 out of 5,5 out of 5(4)
200,"Vitron 32"" Inches Android &Smart  TV,Netflix,HDMI,Decoder+Wall Mount Bracket+TV Guard","KSh 15,890","KSh 28,000",43%,4.3 out of 5,4.3 out of 5(36)
201,William Lawson's William Lawson's Scotch Whisky – 750ml,"KSh 1,540","KSh 1,680",8%,4.5 out of 5,4.5 out of 5(22)
202,Qwen Wireless Earbuds In-ear Bluetooth Earphones Digital LED Display,KSh 700,"KSh 1,200",42%,4.1 out of 5,4.1 out of 5(60)
203,Phelistar Outdoor Digital TV Aerial Antenna + 3 FREE GIFTS,KSh 750,KSh 950,21%,4 out of 5,4 out of 5(113)
204,"Vitron 4388FS 43"" Full HD Smart TV Netflix Youtube /  Wall Bracket & Power GUARD.","KSh 24,399","KSh 26,999",10%,4.3 out of 5,4.3 out of 5(400)
205,Fashion Men's Shoes Loafers Classic Men's Casual Shoes Canvas Loafers Slip-On Shoes,KSh 699,"KSh 1,265",45%,3.5 out of 5,3.5 out of 5(74)
206,Mosquito Net With Metallic Stand 4 By 6 - Purple,"KSh 1,330",,,3.6 out of 5,3.6 out of 5(97)
207,"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner","KSh 2,599","KSh 3,299",21%,4.3 out of 5,4.3 out of 5(260)
208,Vitron V527 Tallboy Sub Woofer Home Theatre 2.1 Ch,"KSh 6,473","KSh 6,774",4%,4.3 out of 5,4.3 out of 5(159)
209,10kg Digital Kitchen Scale Cooking Weighing Scale,KSh 539,KSh 800,33%,4.3 out of 5,4.3 out of 5(117)
210,Fashion Men's Shoes  Outdoor Comfortable-Brown,"KSh 1,150","KSh 2,059 - KSh 2,255",49%,4.1 out of 5,4.1 out of 5(58)
211,"Tecno Camon 20  6.67-inch 256GB+8GB RAM-64 MP-battery-5000mAh-+ALL GIFTS,./CY//","KSh 50,000",,,4.5 out of 5,4.5 out of 5(47)
212,"Home Design Rotating 14"" - 55"" Full Motion Swivel TV Bracket",KSh 899,"KSh 1,500",40%,4.2 out of 5,4.2 out of 5(667)
213,Color Screen Smart Watch Heart Rate Sport Bracelet,KSh 697,"KSh 1,244",44%,3.4 out of 5,3.4 out of 5(65)
214,Fashion Men's Formal Casual Peplum Shoes - White,"KSh 1,190","KSh 1,830 - KSh 2,333",49%,3.7 out of 5,3.7 out of 5(31)
215,GARBAGE BAGS 50pcs-BIN LINERS,KSh 670,,,3.7 out of 5,3.7 out of 5(82)
216,Superfoam Morning Glory Medium Density Quilted  -Grey & Blue,"KSh 7,368 - KSh 14,737",,,4.5 out of 5,4.5 out of 5(18)
217,Fashion Women Shoes Ladies Shoes Sneakers Women-red,KSh 599,"KSh 1,098",45%,3.3 out of 5,3.3 out of 5(128)
218,Wireless Fingerprint Touch Bluetooth 5.0 Earphone With Mic,KSh 610,"KSh 1,200",49%,4.4 out of 5,4.4 out of 5(39)
219,Gionee DCQ D1 Power Banks 10000 MAh,KSh 920,"KSh 1,500",39%,4 out of 5,4 out of 5(159)
220,Qwen Memory Card 64GB High Speed C10,KSh 569,KSh 800,29%,3.8 out of 5,3.8 out of 5(27)
221,Fashion Stylish Mock Neck Ribbed Bodycon Dress(Hips 36-44inches Fit),KSh 579,"KSh 1,020",43%,4.1 out of 5,4.1 out of 5(238)
222,Macaroon Bluetooth Wireless Earphones Sound Headsets Noise Cancelling HD Binaural Call -BLACK,KSh 647,"KSh 1,254",48%,3.8 out of 5,3.8 out of 5(113)
223,Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue,"KSh 1,609","KSh 3,050",47%,4.4 out of 5,4.4 out of 5(42)
224,MK TV Guard Voltage Protector,KSh 599,KSh 950,37%,4 out of 5,4 out of 5(102)
225,"XIAOMI Redmi 12C, 6.71"", 4GB + 128GB, 50MP CAM, 5000mAh, Blue","KSh 17,599","KSh 28,199",38%,4.3 out of 5,4.3 out of 5(30)
226,Fashion Men Shoes Sneakers Sport Shoes Casual Shoes Outdoor Shoes Running Shoes,"KSh 1,059 - KSh 1,099","KSh 1,959",46%,3.9 out of 5,3.9 out of 5(109)
227,"Vitron 3200S,32"" Inch Smart Android TV,NetflixYoutube, Appstore+FREE Extension+BRACKET","KSh 15,599","KSh 20,000",22%,4.2 out of 5,4.2 out of 5(158)
228,Bluetooth Headphones Fingerprint Control Earpôds,KSh 677,"KSh 1,033",34%,3.9 out of 5,3.9 out of 5(69)
229,Kemei Flat Iron Hair Straightener Professional,"KSh 1,000","KSh 1,500",33%,4.2 out of 5,4.2 out of 5(718)
230,Fashion Male Sneakers Breathable Fluorescent Luminous Starry Wear-resistant Sports Shoes,KSh 550,"KSh 1,078",49%,4.1 out of 5,4.1 out of 5(27)
231,Hikers KE-MOW20LD-Digital Microwave Oven – 20 Litres –700W- White,"KSh 7,699","KSh 13,999",45%,4.6 out of 5,4.6 out of 5(29)
232,"Vitron 3200S,32"" Inch TV Framelss Smart Android TV,NetflixYoutube+FREE TVGuard+Bracket","KSh 15,889","KSh 18,600",15%,4.2 out of 5,4.2 out of 5(221)
