,name,new_price,old_price,discount,rating,votes
86,"For Mitsubishi Lancer 2008-2015 Carbon Fiber Car Side Door Tweeter Speaker Sticker Cover Trim Frame Decor Accessories, B",1633.0,"KSh 3,266",50%,,
87,"3 Pack 28 Slots Diamond Embroidery Boxs,Diamond Painting",1726.0,"KSh 2,967",42%,,
88,Acara Hand pump foam sprayer hand Pressurized Foam Sprayer 2 L Pressure Foam Carwash Car Window Cleaning Garden Sprinkle,3212.0,"KSh 6,424",50%,,
89,6Pcs Tungsten Carbide Aluminum Rotary Files Burr Set 6mm Shank 10mm Cutting Diameter for Grinder Drill,4166.0,"KSh 7,874",47%,,
90,Carbon Fiber Interior Steering Wheel Button Cover Trim for Subaru Forester 16-18,244.0,,,,
91,100PCS Invisible Wall Rattan Clamp Plant Climbing Wall Fixator Vine Buckle Hook Rattan Fixed Clip Bracket Plant Stent,2229.0,"KSh 4,458",50%,,
92,"915 Generation Popsicle Mold, Silicone Popsicle Mold, Homemade",2780.0,"KSh 5,226",47%,,
93,Pure Cycling Cap Head Scarf Summer Running Hat Hood Reflective Design Headband Riding Bandana Head Scarf Pirate Blue,454.0,KSh 860,47%,4 out of 5,4 out of 5(1)
94,GUB Bike Cassette 10S 11-42T Mountain Bike Freewheel for Mountain Road Bicycle MTB BMX SRAM Shimano,4874.0,"KSh 9,213",47%,,
95,Sms Gsm Remote Control Switch 2 Channel Relay Module,4018.0,"KSh 6,912",42%,,
96,Manual Meat Vegetable Fruit Chopper Cutter Processor Garlic Cutter Grinder Twist Shredder Kitchen Accessories A,2122.0,"KSh 4,244",50%,5 out of 5,5 out of 5(1)
97,Filters For GoPro Hero 9 Black UV Square Lens Filter,1604.0,"KSh 3,208",50%,,
98,Filters For GoPro Hero 9 Black ND8 Square Lens Filter,1321.0,"KSh 2,642",50%,,
99,"915 Generation USB Cold Light Clamp Lamp, for Eyebrow Manicure Eyelash Exte",1892.0,"KSh 3,501",46%,,
100,Outdoor Indoor Nap Travel TPU Travel Inflatable Pillow Lumbar Pillow Inflatable Air Pillow Air Pillow Lumbar Pillow,1385.0,"KSh 2,770",50%,,
101,5PCS/Set Simulated Toolbox Refrigerator For 1/10 RC,1789.0,"KSh 3,382",47%,,
102,30203 Taper Roller Wheel Bearings,460.0,KSh 870,47%,,
103,All Metal Fishing Reel 5.0:1 Max Drag 10Kg GT3000,3334.0,"KSh 6,503",49%,,
104,M.2 NVMe SSD To PCI-E X16 Converter Card NGFF M-Key M.2 PCIe PCI-Express X4/X8/X16 HDD Hard Drive Solid State Disk Adapter Card,528.0,"KSh 1,056",50%,,
105,Tanluhu Ultralight Running Hydration Backpack Women Men Breathable Backpack Water Bag for Marathon Cycling Outdoor Sports Purple,2981.0,"KSh 5,904",50%,,
106,915 Generation Fuel Pipe Connector Motorcycle 7.89 Series Quick Release,799.0,"KSh 1,477",46%,,
107,"100 Pieces Moon Star Organza Jewelry Candy Bags, 2.7X3.5 Inch Pink",616.0,"KSh 1,165",47%,,
108,"2Pcs Bath Mat,Bathroom Mat and U-Shaped Contour Toilet Rug Set,Memory Foam Absorbent Machine Washable Floor Bathmat 2",1763.0,"KSh 3,209",45%,,
109,Samsung 64 GB Memory Card EVO Plus Micro SD,925.0,"KSh 1,500",38%,4 out of 5,4 out of 5(35)
110,1Set Baking Paper Circle Parchment Paper Multifunction Liner BBQ Oven Patty Hamburger Paper Cake Non-Stick Baking Too,2563.0,"KSh 5,126",50%,,
111,"8Pcs Violin Mute Rubber Mute Fiddle Mute Violin Practice Mute for 3/4 4/4 1/2 1/4 1/8 Violin,Multicolor",531.0,,,,
112,"Rubber Wood Grain Painting Tool, with Handle Wall Texture Art Painting Tool Pattern Roller for Painting Wall Decoration",3149.0,"KSh 5,923",47%,,
113,H91 4G LTE Mobile WiFi Router 150Mbps with SIM Card Slot Portable 4G WiFi Router Support 10 User Connections(H91-SEA),4279.0,"KSh 7,788",45%,,
114,"915 Generation Blue Wood Bead Wreath, Nautical Farmhouse Country Style Bead",1515.0,"KSh 2,848",47%,,
115,2Pc Tire Changer Disassembly Bead Clamp Adaptor Rim Press,2944.0,"KSh 5,152",43%,,
116,Wooden Bamboo Rectangular Serving Plate Tea Cutlery Plates,2920.0,"KSh 5,255",44%,,
117,"4 Pairs Bicycle Disc Brake Pads for Aons Caliper,Diameter Is 21.5mm Round Pads,Sport EX Class RESIN",793.0,"KSh 1,501",47%,,
118,1x Bird Deterrent Tape Visual Reflective Pigeon Scare  Ribbon,573.0,KSh 745,23%,,
119,"for Raspberry Pi 4 Case with Ice Tower Cooler CPU Fan,with Fan Heat Sink Fan Glare RGB Fan Heat Pipe Tower",3438.0,,,,
120,"Stainless Steel Professional Body Piercing Kit Belly Button Rings Tongue Rings Set, style 2",867.0,"KSh 1,579",45%,,
121,144Pcs Kitchen Jars Bottle Container Label Various Food Label Clear Stickers on Can Storage Box Item Mark 8 Sheets,554.0,"KSh 1,108",50%,5 out of 5,5 out of 5(1)
122,A2212 1400Kv Brushless Outrunner Motor with 30A Brushless,1607.0,"KSh 3,213",50%,,
123,LED Grow Light with Timer Dimmable for Seedling Fito Lamp,6792.0,"KSh 13,583",50%,,
124,Brookside Retractable Stainless Steel Heart Shape Cake Mold Pastry Mould Adjustable 610 inch Mousse Ring DIY Kitchen Baking Tools,661.0,"KSh 1,322",50%,,
125,Smart Coffee Scale with Timer Kitchen Scales USB Charging,3327.0,"KSh 6,654",50%,,
126,"7000 Pcs Bling Diamond Acrylic Gem Table Scatter Crystals in 4 Sizes for Vase Filler Christmas Wedding Party,Coffee",803.0,,,,
127,Brookside WiFi leak and overflow full water alarm mobile phone remote APP control water flood sensor with tape,2106.0,"KSh 4,212",50%,,
128,5Pcs Set Pack Non-Slip Stainless Steel Chopsticks Reusable Tableware,1240.0,"KSh 2,257",45%,,
129,Universal Selfie LED Ring Flash Light for Mobile Phone Rechargeable Portable Clip-on Oternal Selfie Light - White,502.0,"KSh 1,004",50%,3 out of 5,3 out of 5(1)
130,304 Stainless Steel Pepper Grinder Glass Bottle Pepper Seasoning Jar Kitchen Supplies Salt Grinder Mill Kitchen Tool,1473.0,"KSh 2,945",50%,,
131,Filters For GoPro Hero 9 Black UV Square Lens Filter,1604.0,"KSh 3,208",50%,,
132,Filters For GoPro Hero 9 Black ND8 Square Lens Filter,1321.0,"KSh 2,642",50%,,
133,Digital Caliper Measure Vernier Calipers Plastic Electronic Gauge Instrument Micrometer Depth Ruler Measuring Tools A,935.0,"KSh 1,869",50%,5 out of 5,5 out of 5(1)
134,For Apple Airpods Pro Case TPU PC Anti-Fall Cover,619.0,"KSh 1,169",47%,,
135,1PCS 009S Plus Riser Card VER009S PCIE PCI-E PCI Express X16 GPU 6in Adapter Card 1X 16X Extender USB 3.0 Cable,1173.0,"KSh 2,250",48%,,
136,Jumia Books THE WINNING STRATEGY,2000.0,,,5 out of 5,5 out of 5(1)
