,name,new_price,old_price,discount,rating,votes
191,Fashion Style PU Leather Unisex Back To School Shoes/ Toughees Shoes - Black,1500.0,2000.0,0.25,4.2,4.2 out of 5(6)
192,Curren 9015 Rose Gold Blue Watch.,3299.0,3500.0,0.06,5.0,5 out of 5(1)
193,1 Duvet 1 Bedsheet 2 Pillowcases - Blue & White with Star Print,2317.0,3148.0,0.28,4.1,4.1 out of 5(64)
194,Disaar Probiotic Mouth Spray Fresh Breath Grape Flavor -20ml,349.0,650.0,0.46,4.6,4.6 out of 5(5)
195,Car Anti-fog Anti-glare Waterproof Film Rain Shield Sticker Film Car Anti-fog Waterproof Stciker .,599.0,1099.0,0.45,4.5,4.5 out of 5(29)
196,Bebe KIDS STUDY TABLETS 128GB/4GB With Simcard Slot 10inch.,17880.0,20000.0,0.11,,
197,"Tecno Phantom V Flip 5G, 256GB + 8GB RAM (Single SIM), 4000mAh, Mystic Dawn",97999.0,99999.0,0.02,,
198,Fashion Khaki Bomber Jacket (BEIGE),2500.0,4000.0,0.38,2.8,2.8 out of 5(4)
199,Chopping Board - White,450.0,550.0,0.18,5.0,5 out of 5(4)
200,"Vitron 32"" Inches Android &Smart  TV,Netflix,HDMI,Decoder+Wall Mount Bracket+TV Guard",15890.0,28000.0,0.43,4.3,4.3 out of 5(36)
201,William Lawson's William Lawson's Scotch Whisky – 750ml,1540.0,1680.0,0.08,4.5,4.5 out of 5(22)
202,Qwen Wireless Earbuds In-ear Bluetooth Earphones Digital LED Display,700.0,1200.0,0.42,4.1,4.1 out of 5(60)
203,Phelistar Outdoor Digital TV Aerial Antenna + 3 FREE GIFTS,750.0,950.0,0.21,4.0,4 out of 5(113)
204,"Vitron 4388FS 43"" Full HD Smart TV Netflix Youtube /  Wall Bracket & Power GUARD.",24399.0,26999.0,0.1,4.3,4.3 out of 5(400)
205,Fashion Men's Shoes Loafers Classic Men's Casual Shoes Canvas Loafers Slip-On Shoes,699.0,1265.0,0.45,3.5,3.5 out of 5(74)
206,Mosquito Net With Metallic Stand 4 By 6 - Purple,1330.0,,,3.6,3.6 out of 5(97)
207,"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner",2599.0,3299.0,0.21,4.3,4.3 out of 5(260)
208,Vitron V527 Tallboy Sub Woofer Home Theatre 2.1 Ch,6473.0,6774.0,0.04,4.3,4.3 out of 5(159)
209,10kg Digital Kitchen Scale Cooking Weighing Scale,539.0,800.0,0.33,4.3,4.3 out of 5(117)
210,Fashion Men's Shoes  Outdoor Comfortable-Brown,1150.0,2059.0,0.49,4.1,4.1 out of 5(58)
211,"Tecno Camon 20  6.67-inch 256GB+8GB RAM-64 MP-battery-5000mAh-+ALL GIFTS,./CY//",50000.0,,,4.5,4.5 out of 5(47)
212,"Home Design Rotating 14"" - 55"" Full Motion Swivel TV Bracket",899.0,1500.0,0.4,4.2,4.2 out of 5(667)
213,Color Screen Smart Watch Heart Rate Sport Bracelet,697.0,1244.0,0.44,3.4,3.4 out of 5(65)
214,Fashion Men's Formal Casual Peplum Shoes - White,1190.0,1830.0,0.49,3.7,3.7 out of 5(31)
215,GARBAGE BAGS 50pcs-BIN LINERS,670.0,,,3.7,3.7 out of 5(82)
216,Superfoam Morning Glory Medium Density Quilted  -Grey & Blue,7368.0,,,4.5,4.5 out of 5(18)
217,Fashion Women Shoes Ladies Shoes Sneakers Women-red,599.0,1098.0,0.45,3.3,3.3 out of 5(128)
218,Wireless Fingerprint Touch Bluetooth 5.0 Earphone With Mic,610.0,1200.0,0.49,4.4,4.4 out of 5(39)
219,Gionee DCQ D1 Power Banks 10000 MAh,920.0,1500.0,0.39,4.0,4 out of 5(159)
220,Qwen Memory Card 64GB High Speed C10,569.0,800.0,0.29,3.8,3.8 out of 5(27)
